2024-08-03	1398333	61,09,67,40,64,70,57,23,42,59,51,47,56,48,01,50,10,32,12,58,11,68	936 (9)
2024-08-03	1398332	52,36,27,40,18,20,33,45,26,34,32,13,31,22,62,38,30,35,24,11,51,47	727 (7)
2024-08-03	1398331	29,33,08,18,03,28,57,21,51,41,10,63,12,55,43,14,52,04,47,37,23,66	715 (7)
2024-08-03	1398330	65,41,30,12,66,08,55,48,24,36,25,42,02,52,14,68,07,19,33,10,44,34	735 (7)
2024-08-03	1398329	61,06,69,24,10,64,45,62,07,38,25,02,22,66,50,70,16,65,05,34,52,55	848 (9)
2024-08-03	1398328	11,05,51,40,29,09,41,06,07,54,49,69,14,67,19,50,66,22,01,56,42,35	743 (8)
2024-08-03	1398327	53,51,58,56,13,41,44,15,57,25,38,11,29,09,34,40,63,62,10,35,16,18	778 (8)
2024-08-03	1398326	12,38,41,54,64,04,52,05,07,06,63,32,69,27,67,42,48,46,66,60,45,51	899 (9)
2024-08-03	1398325	06,02,22,56,27,58,57,39,42,14,61,45,21,54,18,69,70,09,51,17,33,60	831 (9)
2024-08-03	1398324	26,02,19,56,63,40,31,01,05,60,24,65,50,43,35,51,37,18,54,38,62,03	783 (8)
2024-08-03	1398323	47,42,44,13,14,66,56,17,19,54,21,20,36,37,07,43,39,38,34,09,03,63	722 (7)
2024-08-03	1398322	38,01,43,60,54,36,42,08,07,12,55,51,16,39,41,44,57,18,25,49,66,45	807 (9)
2024-08-03	1398321	17,41,03,32,55,66,56,54,58,13,08,02,53,37,67,19,18,51,29,14,69,65	827 (9)
2024-08-03	1398320	47,49,48,40,46,50,38,37,25,04,15,07,11,33,65,03,16,22,32,30,41,58	717 (7)
2024-08-03	1398319	24,68,70,45,57,14,54,03,26,56,55,22,15,28,62,43,47,13,46,31,33,69	881 (9)
2024-08-03	1398318	52,03,15,10,33,30,01,23,64,12,38,40,54,02,65,66,14,51,31,47,25,57	733 (7)
2024-08-03	1398317	39,41,60,21,08,28,06,35,09,30,62,05,14,18,44,54,27,11,70,68,22,50	722 (7)
2024-08-03	1398316	21,22,01,24,02,43,18,38,07,64,37,10,50,66,70,20,53,34,68,55,61,45	809 (9)
2024-08-03	1398314	14,17,59,45,21,50,30,64,22,67,54,46,55,13,20,01,04,35,27,24,62,42	772 (8)
2024-08-03	1398313	03,70,43,13,54,64,14,60,22,24,28,50,48,61,52,06,62,58,16,68,11,04	831 (9)
2024-08-03	1398312	64,38,18,56,45,03,16,44,39,58,41,69,12,59,49,51,24,57,17,05,63,47	875 (9)
2024-08-03	1398311	06,57,55,26,45,18,69,49,25,63,38,08,32,31,37,13,59,12,46,33,67,44	833 (9)
2024-08-03	1398310	17,43,42,28,25,33,70,31,68,40,47,44,07,29,56,05,18,64,02,22,32,60	783 (8)
2024-08-03	1398309	03,24,38,62,14,44,16,40,08,01,39,48,07,37,45,11,52,22,17,23,58,05	614 (5)
2024-08-03	1398308	07,65,13,70,45,55,48,25,39,37,08,23,17,02,10,22,43,42,30,56,51,33	741 (8)
2024-08-03	1398306	69,47,17,04,28,14,50,20,11,08,58,32,68,62,30,16,22,64,31,24,40,45	760 (8)
2024-08-03	1398305	09,36,57,13,59,35,27,19,29,12,01,49,02,04,63,62,08,15,60,10,70,39	679 (6)
2024-08-03	1398304	61,16,06,13,03,32,56,31,44,29,30,27,45,35,18,53,63,08,38,28,69,57	762 (8)
2024-08-03	1398295	35,09,27,45,48,15,11,38,50,68,14,13,56,55,70,51,63,54,24,36,28,22	832 (9)
2024-08-03	1398294	05,11,62,16,17,56,19,23,51,61,43,59,37,04,55,03,68,58,38,13,69,32	800 (8)
2024-08-03	1398293	56,46,37,66,19,48,34,55,47,07,03,24,51,10,18,32,02,17,58,52,31,60	773 (8)
2024-08-03	1398292	16,14,59,52,66,02,10,42,47,08,61,01,12,44,68,26,64,63,62,20,05,15	757 (8)
2024-08-03	1398291	03,55,19,50,40,28,62,17,66,24,14,70,15,27,18,49,09,44,36,33,53,65	797 (8)
2024-08-03	1398290	62,38,49,39,32,59,05,64,04,24,20,18,01,06,50,07,66,56,52,08,33,51	744 (8)
2024-08-03	1398289	43,65,12,53,57,03,05,02,14,59,29,64,42,67,25,51,27,58,35,66,30,60	867 (9)
2024-08-03	1398288	63,01,51,28,11,32,07,41,62,50,12,38,30,70,19,21,18,61,48,03,09,57	732 (7)
2024-08-03	1398287	60,29,44,21,43,66,48,30,67,23,36,16,70,06,13,02,10,63,17,08,26,35	733 (7)
